Year,Milk Price
1980,13
1981,13.8
1982,13.6
1983,13.6
1984,13.5
1985,12.7
1986,12.5
1987,12.5
1988,12.2
1989,13.6
1990,13.7
1991,12.2
1992,13.1
1993,12.8
1994,13
1995,12.7
1996,14.9
1997,13.3
1998,15.5
1999,14.4
2000,12.3
2001,15
2002,12.1
2003,12.5
2004,16.1
2005,15.1
2006,12.9
2007,19.1
2008,18.3
2009,12.8
2010,16.3
2011,20.1
2012,18.5
2013,20.1
2014,24
2015,17.1
2016,16.3
2017,17.7
2018,16.2
